ac_year,state_name,district_code,district_name,vilcd,vilname,schcd,schname,habname,blkname,schmgt_desc,schcat_desc,rururb,lat,long
2015-16,Mizoram                       ,1504,CHAMPHAI,150401022,HNAHLAN,15040102205,GOVT. HNAHLAN P/S-III,HNAHLAN,"SDEO, CHAMPHAI",Department of Education,Primary,Rural,23.69368526,93.37835491
2015-16,Mizoram                       ,1504,CHAMPHAI,150401022,HNAHLAN,15040102206,"PRESBYTERIAN ENGLISH SCHOOL, HNAHLAN M/S (LUMPSUM)",HNAHLAN,"SDEO, CHAMPHAI",LUMPSUM AIDED                                                              ,Upper Primary only,Rural,23.69745781,93.38316035
2015-16,Mizoram                       ,1504,CHAMPHAI,150401022,HNAHLAN,15040102210,GOVT. HNAHLAN HIGH SCHOOL,HNAHLAN,"DEO, CHAMPHAI",Department of Education,Secondary Only,Rural,23.69697151,93.38338137
2015-16,Mizoram                       ,1504,CHAMPHAI,150401022,HNAHLAN,15040102211,"HNAHLAN ENG, MEDIUM SCHOOL",HNAHLAN,"DEO, CHAMPHAI",Pvt. Unaided,Secondary Only,Rural,23.697441,93.383175
2015-16,Mizoram                       ,1504,CHAMPHAI,150401022,HNAHLAN,15040102212,HNAHLAN ENG. MEDIUM SCHOOL,HNAHLAN,"SDEO, CHAMPHAI",Pvt. Unaided,Primary with Upper Primary,Rural,23.699282,93.381409
2015-16,Mizoram                       ,1504,CHAMPHAI,150401022,HNAHLAN,15040102213,"PRESBYTERIAN ENGLISH SCHOOL, HNAHLAN P/S",HNAHLAN,"SDEO, CHAMPHAI",Pvt. Unaided,Primary,Rural,23.69745781,93.38316035
2015-16,Mizoram                       ,1504,CHAMPHAI,150401022,HNAHLAN,15040102214,HNAHLAN HIGHER SECONDARY SCHOOL,HNAHLAN,"DEO, CHAMPHAI",Pvt. Unaided,Higher Secondary only/Jr. College,Rural,23.695801,93.383629
2015-16,Mizoram                       ,1504,CHAMPHAI,150401023,N.DILTLANG,15040102301,DILTLANG M/S (ADHOC),DILTLANG,"SDEO, CHAMPHAI",ADHOC AIDED                                                                ,Upper Primary only,Rural,23.60026541,93.40252697
2015-16,Mizoram                       ,1504,CHAMPHAI,150401023,N.DILTLANG,15040102302,GOVT. DILTLANG P/S,DILTLANG,"SDEO, CHAMPHAI",Department of Education,Primary,Rural,23.60091429,93.40328872
2015-16,Mizoram                       ,1504,CHAMPHAI,150401024,VAIKHAWTLANG,15040102401,GOVT. VAIKHAWTLANG M/S,VAIKHAWTLANG,"SDEO, CHAMPHAI",Department of Education,Upper Primary only,Rural,23.80566066,93.38205636
2015-16,Mizoram                       ,1504,CHAMPHAI,150401024,VAIKHAWTLANG,15040102402,GOVT. VAIKHAWTLANG P/S,VAIKHAWTLANG,"SDEO, CHAMPHAI",Department of Education,Primary,Rural,23.81010724,93.38329017
2015-16,Mizoram                       ,1504,CHAMPHAI,150401024,VAIKHAWTLANG,15040102403,"EBENEZER ACADEMY, VAIKHAWTLANG",VAIKHAWTLANG,"SDEO, CHAMPHAI",Church                                                                     ,Primary with Upper Primary,Rural,23.80604348,93.38191152
2015-16,Mizoram                       ,1504,CHAMPHAI,150401024,VAIKHAWTLANG,15040102404,"PRESBYTERIAN ENGLISH SCHOOL, VAIKHAWTLANG",VAIKHAWTLANG,"SDEO, CHAMPHAI",Church                                                                     ,Primary,Rural,23.809824,93.38347
2015-16,Mizoram                       ,1504,CHAMPHAI,150401024,VAIKHAWTLANG,15040102405,VAIKHAWTLANG HIGH SCHOOL,VAIKHAWTLANG,"DEO, CHAMPHAI",Pvt. Unaided,Secondary Only,Rural,23.80788,93.38078
2015-16,Mizoram                       ,1504,CHAMPHAI,150401025,VAPAR,15040102501,GOVT. VAPAR M/S ,VAPAR,"SDEO, CHAMPHAI",Department of Education,Upper Primary only,Rural,23.619677,93.35327
