"code","Schname", "lat", "long", "Remarks"
"15010103102","R.M. SAIKHAWTHLIR GOVT. M/S","24.1482514667","92.4854636192","Completed"
"15010103103","SAIKHAWTHLIR  LEILET P/S","24.1484472656","92.4942612648","Completed"
"15010103201","ZAMUANG GOVT. P/S-I","24.0969516037","92.3979485035","Completed"
"15010103202","ZAMUANG GOVT. P/S-II","24.1053153052","92.3969078064","Completed"
"15010103203","ZAMUANG GOVT. M/S","24.0993314947","92.3975729942","Completed"
"15010103204","PRESBYTERIAN ENGLISH SCHOOL P/S, ZAMUANG","24.1004087971","92.3982596397","Completed"
"15010103207","ZAMUANG GOVT.  HIGH SCHOOL","24.0990278897","92.3976051807","Completed"
"15010103208","ST IGNATIUS ENGLISH SCHOOL ZAMUANG","24.1015301619","92.397197485","Completed"
"15010103301","MAMIT GOVT. P/S-V","23.9429190326","92.4900341034","Completed"
"15010103302","MAMIT GOVT. M/S-III","23.9432769373","92.4913966656","Completed"
"15010103303","VAWNGAWNZO UPS","24.0416532205","92.5070661306","Completed"
"15010103305","VAWNGAWNZO P/S","24.0422460044","92.5082623959","Completed"
"15010103306","CHILUI UPS","23.9974708734","92.4724602699","Completed"
"15010103307","TLANGKHANG GOVT. P/S","24.0452833669","92.5551393628","Completed"
"15010103308","CHILUI P/S","23.9975002778","92.4723878503","Completed"
"15010103309","DAMDIAI UPS","24.0845421551","92.5076535344","Completed"
"15010103310","DAMDIAI P/S","24.0849878191","92.5071385503","Completed"
"15010103311","MAMIT HIGH SCHOOL-II","23.9331694246","92.4893662333","Completed"
"15010103801","HMUNTHATLANG P/S","24.0791352951","92.3896980286","Completed"
"15010103802","HMUNTHATLANG UPS","24.0790079568","92.3897194862","Completed"
"15010104301","MAMIT GOVT. P/S II","23.9196678088","92.4919492006","Completed"
"15010104302","MAMIT GOVT. M/S II","23.9181378471","92.4912518263","Completed"
"15010104303","HMUNSAM PUBLIC P/S","23.9237329072","92.490913868","Completed"
"15010104304","HMUNSAM PUBLIC UPS","23.9237329072","92.490913868","Completed"
"15010104305","MAMIT GOVT. HIGHER SECONDARY SCHOOL","23.9194814682","92.4922174215","Completed"
"15010104306","MAMIT GOVT. HIGH SCHOOL","23.9191014308","92.4922683835","Completed"
"15010105501","SIHTHIANG UPS","24.0536112502","92.4465233088","Completed"
"15010105502","SYNOD HOME MISSION SCHOOL SIHTHIANG","24.0519310207","92.4498975277","Completed"
"15010105601","RAJIV GANDHI MEMORIAL SCHOOL P/S, KOLALIAN","24.2402585568","92.420707047","Completed"
"15010105602","RAJIV GANDHI MEMORIAL SCHOOL M/S, KOLALIAN","24.2465536937","92.4212166667","Completed"
"15010200101","UGUDUASURY P/S","23.392615","92.361172","Completed"
"15010200102","HNAHVA UPS","23.35755","92.397587","Completed"
"15010200103","HNAHVA GOVT. P/S","23.357276","92.394611","Completed"
"15010200201","LOKHISURI DOR P/S","23.358408","92.398038","Completed"
"15010200202","SILSURY GOVT. P/S","23.381884","92.366986","Completed"
"15010200203","SILSURY GOVT. M/S","23.383519044","92.3656305671","Completed"
"15010200204","LOKHISURY P/S","23.385814","92.377813","Completed"
"15010200301","PUKZING VENGTHAR UPS","23.318482","92.44724","Completed"
"15010200302","PUKZING VENGTHAR GOVT. P/S","23.316514","92.448091","Completed"
"15010200401","PUKZING GOVT. P/S","23.3456444424","92.4280187488","Completed"
"15010200402","PUKZING GOVT. M/S","23.3454646711","92.4280536175","Completed"
"15010200403","PUKZING RMSA SECONDARY SCHOOL","23.3452233338","92.4282065034","Completed"
"15010200501","CHHIPPUI GOVT. P/S-I","23.6384183088","92.4783664942","Completed"
"15010200502","CHHIPPUI GOVT. P/S-II","23.6372462403","92.478197515","Completed"
"15010200503","CHHIPPUI UPS","23.6567302098","92.4787688255","Completed"
"15010200504","T.M. CHHIPPUI M/S","23.6481900527","92.4793884158","Completed"
"15010200506","CHHIPPUI HIGH SCHOOL","23.6481900527","92.4793884158","Completed"
"15010200601","LALLEN GOVT. P/S","23.6208558386","92.4624019861","Completed"
"15010200602","LALLEN GOVT. M/S","23.6224875987","92.4608382583","Completed"
"15010200604","LALLEN GOVT. HIGH SCHOOL","23.6224507369","92.4608302116","Completed"
"15010200701","PARVATUI GOVT. P/S","23.497841","92.487998","Completed"
"15010200702","PARVATUI GOVT. M/S","23.497584","92.48764","Completed"
"15010200801","PHULDUNGSEI GOVT. P/S-I","23.4872874864","92.4199855328","Completed"
"15010200802","PHULDUNGSEI GOVT. P/S-II","23.473571","92.420209","Completed"
"15010200803","PHULDUNGSEI GOVT. P/S-III","23.479622","92.424956","Completed"
"15010200804","PHULBIAL GOVT. P/S","23.507893162","92.4202698469","Completed"
"15010200805","PHULDUNGSEI GOVT. M/S","23.4869258682","92.4202698469","Completed"
"15010200806","L.M. PHULDUNGSEI M/S","23.47315","92.419803","Completed"
"15010200808","PHULDUNGSEI GOVT. HIGH SCHOOL","23.4869209483","92.4205058813","Completed"
"15010200901","SAITHAH GOVT. P/S","23.5830886792","92.4467593431","Completed"
"15010200902","SAITHAH GOVT. M/S","23.583435284","92.4431625009","Completed"
"15010200903","SAITHAH RMSA SECONDARY SCHOOL","23.5831870069","92.4485617876","Completed"
"15010201001","W. PHULPUI GOVT. P/S","23.412679691","92.4321386218","Completed"
"15010201002","W. PHULPUI UPS","23.41192","92.431067","Completed"
"15010201003","W. PHULPUI RMSA SECONDARY SCHOOL","23.4121431104","92.4328574538","Completed"
"15010201101","ANDERMANIK GOVT. P/S","23.7383789427","92.3006165028","Completed"
"15010201102","ANDERMANIK UPS","23.7384133166","92.3007237911","Completed"
"15010201103","DHANPARA P/S","23.7390762392","92.3047015071","Completed"
"15010201104","PONSURY P/S","23.7394641701","92.3031431437","Completed"
"15010201105","ZOMUANTLANG UPS","23.774505","92.265871","Completed"
"15010201201","BELKHAI GOVT. P/S","23.7307354451","92.3214197159","Completed"
"15010201202","BELKHAI UPS","23.730574","92.321524","Completed"
"15010201301","KHANTLANG UPS","23.747106","92.268925","Completed"
"15010201303","KHANTLANG GOVT. P/S","23.747088","92.268883","Completed"
"15010201501","TUIPUIBARI GOVT. P/S-I","23.710888","92.328364","Completed"
"15010201502","TUIPUIBARI GOVT. P/S-II","23.706913","92.326381","Completed"
"15010201503","SIDON UPS","23.707881","92.33202","Completed"
"15010201504","ZONUAM P/S","23.7182662272","92.3302334547","Completed"
"15010201505","PERSANG P/S","23.702499","92.325793","Completed"
"15010201506","TUIPUIBARI UPS","23.706991","92.326338","Completed"
"15010201507","SIDON P/S","23.705177","92.332629","Completed"
"15010201601","TUIPUIBARI GOVT. M/S-I","23.717772","92.300468","Completed"
